date,latitude,longitude,country,state,search_count,location,geo_code,search_term,year
2021-01-03,40.7127281,-74.0060152,United States,NY,57,New York,US-NY-501,Fishing,2021
2021-01-10,40.7127281,-74.0060152,United States,NY,55,New York,US-NY-501,Fishing,2021
2021-01-17,40.7127281,-74.0060152,United States,NY,54,New York,US-NY-501,Fishing,2021
2021-01-24,40.7127281,-74.0060152,United States,NY,51,New York,US-NY-501,Fishing,2021
2021-01-31,40.7127281,-74.0060152,United States,NY,51,New York,US-NY-501,Fishing,2021
2021-02-07,40.7127281,-74.0060152,United States,NY,49,New York,US-NY-501,Fishing,2021
2021-02-14,40.7127281,-74.0060152,United States,NY,55,New York,US-NY-501,Fishing,2021
2021-02-21,40.7127281,-74.0060152,United States,NY,56,New York,US-NY-501,Fishing,2021
2021-02-28,40.7127281,-74.0060152,United States,NY,60,New York,US-NY-501,Fishing,2021
2021-03-07,40.7127281,-74.0060152,United States,NY,69,New York,US-NY-501,Fishing,2021
2021-03-14,40.7127281,-74.0060152,United States,NY,62,New York,US-NY-501,Fishing,2021
2021-03-21,40.7127281,-74.0060152,United States,NY,66,New York,US-NY-501,Fishing,2021
2021-03-28,40.7127281,-74.0060152,United States,NY,73,New York,US-NY-501,Fishing,2021
2021-04-04,40.7127281,-74.0060152,United States,NY,79,New York,US-NY-501,Fishing,2021
2021-04-11,40.7127281,-74.0060152,United States,NY,73,New York,US-NY-501,Fishing,2021
2021-04-18,40.7127281,-74.0060152,United States,NY,69,New York,US-NY-501,Fishing,2021
2021-04-25,40.7127281,-74.0060152,United States,NY,68,New York,US-NY-501,Fishing,2021
2021-05-02,40.7127281,-74.0060152,United States,NY,85,New York,US-NY-501,Fishing,2021
2021-05-09,40.7127281,-74.0060152,United States,NY,73,New York,US-NY-501,Fishing,2021
2021-05-16,40.7127281,-74.0060152,United States,NY,82,New York,US-NY-501,Fishing,2021
2021-05-23,40.7127281,-74.0060152,United States,NY,82,New York,US-NY-501,Fishing,2021
2021-05-30,40.7127281,-74.0060152,United States,NY,80,New York,US-NY-501,Fishing,2021
2021-06-06,40.7127281,-74.0060152,United States,NY,76,New York,US-NY-501,Fishing,2021
2021-06-13,40.7127281,-74.0060152,United States,NY,84,New York,US-NY-501,Fishing,2021
2021-06-20,40.7127281,-74.0060152,United States,NY,78,New York,US-NY-501,Fishing,2021
2021-06-27,40.7127281,-74.0060152,United States,NY,93,New York,US-NY-501,Fishing,2021
2021-07-04,40.7127281,-74.0060152,United States,NY,88,New York,US-NY-501,Fishing,2021
2021-07-11,40.7127281,-74.0060152,United States,NY,78,New York,US-NY-501,Fishing,2021
2021-07-18,40.7127281,-74.0060152,United States,NY,82,New York,US-NY-501,Fishing,2021
2021-07-25,40.7127281,-74.0060152,United States,NY,100,New York,US-NY-501,Fishing,2021
2021-08-01,40.7127281,-74.0060152,United States,NY,86,New York,US-NY-501,Fishing,2021
2021-08-08,40.7127281,-74.0060152,United States,NY,75,New York,US-NY-501,Fishing,2021
2021-08-15,40.7127281,-74.0060152,United States,NY,74,New York,US-NY-501,Fishing,2021
2021-08-22,40.7127281,-74.0060152,United States,NY,78,New York,US-NY-501,Fishing,2021
2021-08-29,40.7127281,-74.0060152,United States,NY,83,New York,US-NY-501,Fishing,2021
2021-09-05,40.7127281,-74.0060152,United States,NY,66,New York,US-NY-501,Fishing,2021
2021-09-12,40.7127281,-74.0060152,United States,NY,65,New York,US-NY-501,Fishing,2021
2021-09-19,40.7127281,-74.0060152,United States,NY,68,New York,US-NY-501,Fishing,2021
2021-09-26,40.7127281,-74.0060152,United States,NY,69,New York,US-NY-501,Fishing,2021
2021-10-03,40.7127281,-74.0060152,United States,NY,65,New York,US-NY-501,Fishing,2021
2021-10-10,40.7127281,-74.0060152,United States,NY,59,New York,US-NY-501,Fishing,2021
2021-10-17,40.7127281,-74.0060152,United States,NY,62,New York,US-NY-501,Fishing,2021
2021-10-24,40.7127281,-74.0060152,United States,NY,63,New York,US-NY-501,Fishing,2021
2021-10-31,40.7127281,-74.0060152,United States,NY,57,New York,US-NY-501,Fishing,2021
2021-11-07,40.7127281,-74.0060152,United States,NY,58,New York,US-NY-501,Fishing,2021
2021-11-14,40.7127281,-74.0060152,United States,NY,56,New York,US-NY-501,Fishing,2021
2021-11-21,40.7127281,-74.0060152,United States,NY,56,New York,US-NY-501,Fishing,2021
2021-11-28,40.7127281,-74.0060152,United States,NY,60,New York,US-NY-501,Fishing,2021
2021-12-05,40.7127281,-74.0060152,United States,NY,49,New York,US-NY-501,Fishing,2021
2021-12-12,40.7127281,-74.0060152,United States,NY,52,New York,US-NY-501,Fishing,2021
